Description	TotalSalesDollars	ProfitMargin
Bak's Krupnik Honey Liqueur	3522.6499999999924	36.67267540062154
Balcones Baby Blue Corn Whis	1379.7	22.48314851054577
Balcones TX Whisky Single Ba	1949.7	23.08047391906447
Ballard Lane Chardonnay Cent	99.89999999999999	100.0
Balvenie 15 Yr Single Malt	4499.5	57.141904656072896
Banfi Grappa Castello	9922.399999999965	35.06812867854522
Banfi Poggio Alle Mura Rsva	9384.099999999991	72.32339808825564
Banknote Counterfeit	2898.55	38.46578461644615
Banshee 12 Marine Layer Pnt	6108.699999999991	39.672925499697065
Banshee Chard	3353.1999999999925	82.15137778838121
Banshee Rose 14 Pnt Nr Sonom	1019.4	34.66745144202472
Barbarossa Spiced Rum	4725.699999999982	98.22460164631694
Barboursville Rsv Cab Franc	719.7	33.76406836181742
Barco de Piedra Temp Red	2038.8	35.49146556798116
Barefoot Bubbly Berry Fusion	549.4500000000003	33.333333333333364
Barefoot Bubbly Tropical Fus	2297.6999999999994	16.161813987900945
Barefoot Cellars Moscato	9897.249999999913	29.78201015433543
Barefoot Cellars Rich Red	1493.700000000001	12.365267456651294
Barefoot Cellars Rosa Red	2032.8999999999996	76.09326577795268
Barefoot Cellars Sweet Red	7478.849999999986	49.42728542753735
Barefoot Crisp White Spritz	1358.3000000000009	4.586615622469323
Barefoot Merlot 180 Btl Plt	329.7	100.0
Barefoot Perfectly Pink	5727.849999999936	30.18148170779523
Barefoot Refresh Crisp Red	2730.3999999999933	45.887049516554235
Barefoot Summer Red Spritzer	1837.7000000000014	16.254013168634746
Barefoot Znfdl Cal	3065.9000000000005	45.67710136889194
Barkan Clsc Chard	5945.749999999972	33.031156708573086
Baron K Kabinett	4557.599999999979	52.777777777777565
Baron La Rose Bordeaux Blanc	9940.549999999872	80.15703356454095
Baron de Seillac Brut Rose	1558.8000000000002	31.023864511162436
Barra Petite Sirah	804.6500000000002	33.31883427577208
Barricas Torrontes	119.80000000000001	100.0
Barrique Chard	5181.950000000001	10.033867559509499
Barsol Primero Quebranta Pso	7286.599999999982	27.115527131995616
Basilica Amaretto	237.25000000000009	85.07903055848261
Batavia Arrack Rum	159.95	28.07127227258517
Bauchant XO Apple	519.7500000000018	100.0
Be. Bright Pnt Grigio	5211.299999999941	74.43056435054564
Beat 3 Single Malt Whiskey	184.95000000000002	23.384698567180333
Beaucanon Merlot Napa	404.8500000000001	54.64987032234161
Beaulieu Cstl Clr Slct Chard	873.75	4.618025751072977
Becker Family Pnt Bl	1978.9000000000008	64.70766587498106
Bella Bolla Moscato	936.2500000000008	8.411214953271106
Bella Bolla Pink Moscato	2284.4499999999994	50.31407997548642
Bella Bolla Red Moscato	449.4	33.778371161548726
Bella Bolle Fusione Red	494.45000000000033	27.79856406107801
Bella Italia Pnt Grigio Ter	2277.6000000000013	41.9388830347735
Bella Sera Pnt Nr Venezie	778.8	30.970724191063166
Bellafina Prosecco	8432.349999999946	47.07169413034297
Belle Ambiance Chard	1763.3000000000013	18.561787557420793
Belle Ambiance Red	164.85	100.0
Bench Pnt Nr	6816.8999999999905	25.062711789816372
Benefactor Cellars Cab Svgn	27.450000000000003	100.0
Benvolio Toscana Rosso	3247.5	35.113163972286394
Berentzen Bushel & Barrel	6667.8999999999905	169.6407359863553
Berentzen Icemint Schnapps	1680.6000000000026	200.0
Beringer Red Crush	49.90000000000001	100.0
Beringer Svgn Bl Napa Vly	414.7	100.0
Berkshire Mtn Dist Bourbon	229.95000000000002	100.0
Berkshire Mtn Ethereal Gin	9162.049999999957	86.36113096959734
Bertagna Vougeot La Perrier	5699.399999999997	100.0
Bertani Secco 11 Orig V Ed	7621.949999999979	87.64620602339292
Beyond Svgn Bl	977.2499999999999	40.90560245587106
Biagio Bracetto D Aqui	314.7	100.0
Big Claw White	974.2500000000001	35.02694380292534
Bigi Orvieto Clsc Vendemmia	2098.2500000000005	32.31502442511616
Billette Bousquet Prov Rose	5335.549999999988	22.76709992409384
Binyamina Chard	8368.349999999939	15.754599174269243
Biokult Gruner Veltliner	1399.0000000000007	18.341672623302408
Bird Dog Hot Cinnamon Whisky	764.5500000000002	24.2495585638611
Bird Dog Maple Whiskey	9327.299999999925	31.443182914669237
Bisol Crede Prosseco Super V	1319.4000000000003	34.60663938153708
Bitch Vodka	4727.849999999983	39.35086773057499
Black Box Moscato B/B	674.5500000000002	70.76569564895117
Black Cabra Torrontes	49.95	100.0
Black Fig Vodka	319.9	100.0
Black Stallion 10 Trans Cab	1349.9	100.0
Blackbird Vyds Arrivste Rose	6627.44999999998	100.0
Blackstone Syrah Cal	7636.199999999888	26.761347266964247
Blackstone Winemakers Malbec	2096.500000000001	83.25542570951588
Blason de Bourgogne BlncNoir	129.89999999999998	100.0
Bliss Cab Svgn	1818.7000000000007	5.778853026887379
Bliss Merlot	839.4	32.88062902072908
Blossom Hill Merlot	3956.4000000000024	21.656050955414095
Blossom Hill Wh Znfdl	1318.8	19.35850773430391
Blue Chair Bay Coc Spced Rum	3228.2999999999997	36.251277762289746
Blue Hangar 7th Ltd Whiskey	3449.699999999997	100.0
Bluebird Chardonnay	1078.8	32.48053392658507
Blufeld Sweet Rsl	389.35000000000025	100.0
Bocelli Sangiovese	2158.8	32.40689271817678
Bodega Elena de Mendoza Mlbc	5067.749999999973	96.7125450150461
Bodega Garzon Albarino	899.4	35.09006004002668
