Description	TotalSalesDollars	ProfitMargin
Ch Motte Maucourt Brdx	899.4	34.62308205470313
Ch Musar Hochar Red	1649.4500000000003	81.44836157507048
Ch Musar Jeune Rouge	1199.4	31.96598299149575
Ch Pagodes de Cos 10 Brdx	499.95	67.53675367536754
Ch Perron Brdx Rouge	1319.4	33.78808549340609
Ch Pesquie Quint Ventoux Red	1319.4000000000003	35.47066848567532
Ch Rauzan Segla Margaux 09	1599.9	66.66666666666667
Ch Roumier-Lacoste Barsac W	374.85	31.052420968387363
Ch Suau Cadillac Wh Brdx	359.7	33.77814845704754
Ch Valcombe Rose Ventoux	1119.3000000000004	43.60761190029485
Ch de Bonhoste Red Brdx 09	509.70000000000016	78.94840102020797
Chambord Vodka	179.9	63.50750416898276
Chapelle-St-Arnoux CdR Rouge	659.4	33.303002729754326
Charles Fournier Rsl	1519.0500000000004	69.42826108423029
Charles Joguet Chinon Rose	909.3500000000001	75.03711442238964
Chilcas Pinot Noir	99.94999999999999	32.41620810405202
Chimney Rock SLD Cab Svgn	699.9	35.49078439777111
Chinaco Anejo Tequila	334.95	21.868935662039092
Christmas Traditions Pnk Mos	599.4	31.03103103103102
Churchills LBV Port	659.7	20.145520691223297
Cinquante-Cinq Viogn Lang Wh	1618.8000000000002	33.06152705707933
Circa Rosso	584.5500000000002	10.495252758532224
Circadia Cab Svgn Napa Vly	374.95	68.03573809841312
Ciro Rosso Clsc Librandi Cl	389.7	19.55350269438029
Clan MacGregor Scotch	1618.650000000001	64.4518580298397
Coastal Vines Cab Svgn Cal	1432.95	23.961059353082796
Cocchi Vermouth di Torino Sw	189.9	35.07109004739337
Colimoro Montepul D'Abruzzo	659.4	31.028207461328485
Collezione Chianti	898.2000000000006	35.07014028056116
Columbia Crest Two Vn Shiraz	1133.500000000001	51.6188795765329
Comoloco Monastrell Jumilla	1348.500000000001	17.241379310344882
Concannon Crimson & Clover	1558.8	32.87143956889915
Concannon Glen Ellen Wh Zin	79.74999999999999	83.44827586206895
Concannon Irish Whiskey	1319.4	21.873578899499783
Conch Republic Dark Rum	1124.1000000000004	51.69468908460103
Conservancy Concannon Chard	389.7	1.9630484988452743
Contos de Valpiedra Rioja	999.5	32.86643321660831
Cooks Grand Reserve	1428.2000000000003	13.457498949726961
Coronet VSQ	909.3000000000002	32.497525569119105
Cortijo Rosado Rioja	1189.1500000000003	69.05352562754909
Cortijo Tinto Rioja	976.3500000000003	35.45347467608953
Coruba Rum	899.4	24.216144096064053
Coste di Brenta Cerasuolo	934.1500000000004	2.6280575924637675
Creme Yvette Liqueur	239.90000000000003	61.83826594414339
Creta Olympia Red	118.79999999999998	35.35353535353535
Croft Tawny Porto	959.2000000000005	0.04170141784826371
Crop Meyer Lemon Vodka	869.7000000000002	20.627802690582982
Cruzan Est Single Barrel Rum	899.7000000000002	21.873957985995336
